email_text,intent,urgency,order_id,product
"Subj: Case 0001 - Order 51001 laptop never showed up, tracking is stuck on 'label created'... pls help asap.",delivery_issue,high,51001,laptop
"Subj: Case 0002 - Hey, order 51002 (router) says delivered but we didnt recieve anything, can you check?",delivery_issue,medium,51002,router
"Subj: Case 0003 - Order 51003 monitor arrived but the box is smashed + screen cracked, what now??",delivery_issue,high,51003,monitor
"Subj: Case 0004 - I think you shipped my printer to the old address for order 51004, need it rerouted pls.",delivery_issue,medium,51004,printer
"Subj: Case 0005 - Order 51005 cables are missing from the carton (only 1 bag in there), can you resend?",delivery_issue,medium,51005,cables
"Subj: Case 0006 - Order 51006 server rack delivery keeps getting delayed, we need it by tomorrow, urgent.",delivery_issue,high,51006,server rack
"Subj: Case 0007 - My keyboard from order 51007 is marked delivered but reception says nope, pls investigate.",delivery_issue,medium,51007,keyboard
"Subj: Case 0008 - Order 51008 tablet is stuck in transit for 8 days, whats the statuz?",delivery_issue,medium,51008,tablet
"Subj: Case 0009 - Received the wrong item for order 51009 (got cables, not the router), pls fix asap.",delivery_issue,high,51009,router
"Subj: Case 0010 - Order 51010 laptop arrived with missing charger, can you send the part?",delivery_issue,medium,51010,laptop
"Subj: Case 0011 - Order 51011 monitor shipment shows 'exception' and no updates, pls advise soon.",delivery_issue,medium,51011,monitor
"Subj: Case 0012 - Our printer order 51012 got split but only 1/2 packages arrived, where is the rest?",delivery_issue,medium,51012,printer
"Subj: Case 0013 - Order 51013 server rack delivery window was missed twice, we cant keep waiting.",delivery_issue,high,51013,server rack
"Subj: Case 0014 - The tablet on order 51014 arrived wet (like rain damage), pls help w/ claim.",delivery_issue,high,51014,tablet
"Subj: Case 0015 - order 51015 cables were delivered to neighbor suite, can you contact the carrier?",delivery_issue,medium,51015,cables
"Subj: Case 0016 - router order 51016 says out for delivery since yesterday, pls update.",delivery_issue,medium,51016,router
"Subj: Case 0017 - Order 51017 keyboard came in a torn envelope and keys are loose, delivery damage i guess.",delivery_issue,medium,51017,keyboard
"Subj: Case 0018 - We need the laptop from order 51018 for onboarding Monday, but its not here... asap pls.",delivery_issue,high,51018,laptop
"Subj: Case 0019 - Order 51019 monitor shipped, then went backwards to another state?? whats going on",delivery_issue,medium,51019,monitor
"Subj: Case 0020 - printer order 51020 delivered but left outside, now its gone, need help filing claim.",delivery_issue,high,51020,printer
"Subj: Case 0021 - Order 51021 server rack shows delivered, but loading dock has no record, pls check.",delivery_issue,high,51021,server rack
"Subj: Case 0022 - My router order 51022 is stuck at 'processing' for days, did it even ship?",delivery_issue,medium,51022,router
"Subj: Case 0023 - order 51023 cables came 2 days late and now we missed install, pls advise.",delivery_issue,medium,51023,cables
"Subj: Case 0024 - tablet order 51024 arrived w/ seal broken, is it used??",delivery_issue,medium,51024,tablet
"Subj: Case 0025 - keyboard on order 51025 never arrived, only got the monitor in the shipment.",delivery_issue,medium,51025,keyboard
"Subj: Case 0026 - order 51026 laptop delivery date keeps changing, can you confirm ETA today?",delivery_issue,high,51026,laptop
"Subj: Case 0027 - Monitor order 51027 arrived w/ wrong power cable (EU plug), need correct one pls.",delivery_issue,medium,51027,monitor
"Subj: Case 0028 - Printer order 51028 shipped to wrong building (carrier photo not our lobby), help!",delivery_issue,high,51028,printer
"Subj: Case 0029 - order 51029 server rack is missing bolts/parts, cant assemble, need the kit asap.",delivery_issue,high,51029,server rack
"Subj: Case 0030 - Router order 51030 delivered, but it's the wrong model/color, pls swap.",delivery_issue,medium,51030,router
"Subj: Case 0031 - Cables on order 51031 are short shipped (ordered 10, got 6), can you send the rest?",delivery_issue,medium,51031,cables
Subj: Case 0032 - Keyboard order 51032 is showing delivered to 'front desk' but we have no front desk.,delivery_issue,medium,51032,keyboard
"Subj: Case 0033 - Tablet order 51033 has been pending customs forever, can you nudge the shipper?",delivery_issue,medium,51033,tablet
"Subj: Case 0034 - Order 51034 laptop arrived, but the serial sticker looks peeled off, concerned.",delivery_issue,low,51034,laptop
"Subj: Case 0035 - Monitor order 51035 is delayed due to 'weather' but we're on a deadline, pls expedite.",delivery_issue,high,51035,monitor
"Subj: Case 0036 - Printer order 51036 delivered to wrong zipcode, carrier admitted mistake, need reship.",delivery_issue,high,51036,printer
"Subj: Case 0037 - Server rack order 51037 is missing the side panels, pls send whats missing.",delivery_issue,medium,51037,server rack
"Subj: Case 0038 - Router on order 51038 arrived in an open box, feels sketchy, what do i do?",delivery_issue,medium,51038,router
