email_text,intent,urgency,order_id,product,clean_email_text,char_length,word_count
"Hello! Do you have SKU AB-2234 in stock? Need 10 units for next week but not sure availability, thx.",availability,,,laptop,hello do you have sku ab 2234 in stock need 10 units for next week but not sure availability thx,96,20
"Subj: Case 0825 - Just saying thanks, your support agent was super patient earlier.",out_of_scope,,,,just saying thanks your support agent was super patient earlier,63,10
"Can you confirm if the 27in monitor is backordered? SKU MN-4401, qty 7. Pls reply when you can.",availability,,,monitor,can you confirm if the 27in monitor is backordered sku mn 4401 qty 7 pls reply when you can,91,19
Monitor has dead pixels and colour is off. Disappointed.,complaints,,,monitor,monitor has dead pixels and colour is off disappointed,54,9
We can't activate the software license we bought (order 573804) and we also need a copy of the invoice for audit. Pls help.,multiple_intents,,573804.0,,we can t activate the software license we bought order 573804 and we also need a copy of the invoice for audit pls help,119,24
"Subj: Case 0015 - order 51015 cables were delivered to neighbor suite, can you contact the carrier?",delivery_issue,medium,51015.0,cables,order 51015 cables were delivered to neighbor suite can you contact the carrier,79,13
"Subj: Case 0232 - Need invoice copies for Dec 2025, pls.",invoice_request,low,,,need invoice copies for dec 2025 pls,36,7
"Order 81818 shows damaged packaging and missing screws, need replacement parts.",delivery_issue,medium,81818.0,monitor,order 81818 shows damaged packaging and missing screws need replacement parts,77,11
"Subj: Case 0100 - Software license availability: sku SW-PRO-50, qty 50, do you have enough?",availability,,,software license,software license availability sku sw pro 50 qty 50 do you have enough,69,13
"Can you share install guide for the server rack, rev B or latest? Thx.",product_docs,,,server rack,can you share install guide for the server rack rev b or latest thx,67,14
When should I expect order 7012299 (monitor)? Need it by Wed.,order_status,,7012299.0,monitor,when should i expect order 7012299 monitor need it by wed,57,11
Refund for order 7321109: monitor has stuck pixels. Amount 279.00.,refund_request,,7321109.0,,refund for order 7321109 monitor has stuck pixels amount 279 00,63,11
Collections called again about order 700265. Can you resend the remittance details? We paid 4999.00 via ACH,credit_and_collections,,700265.0,,collections called again about order 700265 can you resend the remittance details we paid 4999 00 via ach,105,18
"Swap color for order 55123 — choose black instead of silver, pls",order_modification_request,low,55123.0,,swap color for order 55123 choose black instead of silver pls,61,11
"Subj: Case 0653 - Please initiate return for server rack order 66015, reason: rails warped.",return_request,,66015.0,server rack,please initiate return for server rack order 66015 reason rails warped,70,11
"Monitor order 17171 delayed at customs, need ETA",delivery_issue,medium,17171.0,monitor,monitor order 17171 delayed at customs need eta,47,8
"Looking for reps in APAC for 400 employees, urgent pls",sales_reps,high,,,looking for reps in apac for 400 employees urgent pls,53,10
"Subj: Case 0221 - invoice request: order 63005, we didnt recieve it in the first email.",invoice_request,medium,63005.0,,invoice request order 63005 we didnt recieve it in the first email,66,12
Is XZ2222 in stock for 40 units?,availability,,,cables,is xz2222 in stock for 40 units,31,7
"Please unsubscribe me from marketing emails. i keep getting promos every day, its too much",out_of_scope,,,,please unsubscribe me from marketing emails i keep getting promos every day its too much,88,15
"Order 20002 was marked delivered but missing items, specifically printer cartridges.",delivery_issue,medium,20002.0,printer,order 20002 was marked delivered but missing items specifically printer cartridges,82,11
Received wrong printer and want return + refund for order 33410,multiple_intents,,33410.0,,received wrong printer and want return refund for order 33410,61,10
Cables pricing for 1000 units urgent please,pricing,high,,cables,cables pricing for 1000 units urgent please,43,7
Subj: Case 0798 - Random question: can you sponsor our local hackathon? details: we need swag + a speaker.,out_of_scope,,,,random question can you sponsor our local hackathon details we need swag a speaker,82,14
"My software license key isn't working, activation error code 402. Need help asap.",technical_support,high,,software license,my software license key isn t working activation error code 402 need help asap,78,14
"Subj: Case 0089 - Is keyboard KB-SILENT-2 available, qty 30?",availability,,,keyboard,is keyboard kb silent 2 available qty 30,40,8
Product docs: need compatibility matrix for cables C-MAX version 2,product_docs,,,cables,product docs need compatibility matrix for cables c max version 2,65,11
"Hi, this is random: can you host our procurement event? not support",out_of_scope,,,,hi this is random can you host our procurement event not support,64,12
